OLTID,ONUSerial,ONUSTARTEVENT-ONU-discovery-indication-sent,ONUENDEVENT-Flow-add-received,EpochTime
A4,BBSM00041a01,1577868535747.0,1577868589102.0,53355.0
A4,BBSM00041a02,1577868535748.0,1577868589118.0,53370.0
A4,BBSM00041a03,1577868535750.0,1577868589157.0,53407.0
A4,BBSM00041a04,1577868535752.0,1577868589171.0,53419.0
A4,BBSM00041a0B5,1577868535755.0,1577868589197.0,53442.0
A4,BBSM00041a0C4,1577868535756.0,1577868589220.0,53464.0
A4,BBSM00041a07,1577868535759.0,1577868589247.0,53488.0
A4,BBSM00041a08,1577868535761.0,1577868589270.0,53509.0
A4,BBSM00041a09,1577868535762.0,1577868589298.0,53536.0
A4,BBSM00041a0a,1577868535764.0,1577868589317.0,53553.0
A4,BBSM00041a0b,1577868535768.0,1577868589341.0,53573.0
A4,BBSM00041a0c,1577868535770.0,1577868589363.0,53593.0
A4,BBSM00041a0d,1577868535772.0,1577868589375.0,53603.0
A4,BBSM00041a0e,1577868535773.0,1577868589388.0,53615.0
A4,BBSM00041a0f,1577868535774.0,1577868589406.0,53632.0
A4,BBSM00041a10,1577868535775.0,1577868589428.0,53653.0
A4,BBSM00041a11,1577868535777.0,1577868589449.0,53672.0
A4,BBSM00041a12,1577868535779.0,1577868589468.0,53689.0
A4,BBSM00041a13,1577868535781.0,1577868589481.0,53700.0
A4,BBSM00041a14,1577868535783.0,1577868589497.0,53714.0
A4,BBSM00041a1B5,1577868535785.0,1577868589525.0,53740.0
A4,BBSM00041a1C4,1577868535786.0,1577868589535.0,53749.0
A4,BBSM00041a17,1577868535787.0,1577868589551.0,53764.0
A4,BBSM00041a18,1577868535789.0,1577868589573.0,53784.0
A4,BBSM00041a19,1577868535790.0,1577868589583.0,53793.0
A4,BBSM00041a1a,1577868535792.0,1577868589613.0,53821.0
A4,BBSM00041a1b,1577868535797.0,1577868589632.0,53835.0
A4,BBSM00041a1c,1577868535798.0,1577868589652.0,53854.0
A4,BBSM00041a1d,1577868535798.0,1577868589657.0,53859.0
A4,BBSM00041a1e,1577868535801.0,1577868589687.0,53886.0
A4,BBSM00041a1f,1577868535802.0,1577868589678.0,53876.0
A4,BBSM00041a20,1577868535804.0,1577868589709.0,53905.0
A4,BBSM00040201,1577868535806.0,1577868589719.0,53913.0
A4,BBSM00040202,1577868535807.0,1577868589738.0,53931.0
A4,BBSM00040203,1577868535811.0,1577868589789.0,53978.0
A4,BBSM00040204,1577868535812.0,1577868589785.0,53973.0
A4,BBSM0004020B5,1577868535814.0,1577868589811.0,53997.0
A4,BBSM0004020C4,1577868535816.0,1577868589826.0,54010.0
A4,BBSM00040207,1577868535817.0,1577868589849.0,54032.0
A4,BBSM00040208,1577868535819.0,1577868589877.0,54058.0
A4,BBSM00040209,1577868535822.0,1577868589866.0,54044.0
A4,BBSM0004020a,1577868535824.0,1577868589893.0,54069.0
A4,BBSM0004020b,1577868535827.0,1577868589908.0,54081.0
A4,BBSM0004020c,1577868535830.0,1577868589921.0,54091.0
A4,BBSM0004020d,1577868535833.0,1577868589944.0,54111.0
A4,BBSM0004020e,1577868535834.0,1577868589955.0,54121.0
A4,BBSM0004020f,1577868535837.0,1577868589977.0,54140.0
A4,BBSM00040210,1577868535838.0,1577868589998.0,54160.0
A4,BBSM00040211,1577868535840.0,1577868589994.0,54154.0
A4,BBSM00040212,1577868535843.0,1577868590020.0,54177.0
A4,BBSM00040213,1577868535844.0,1577868590035.0,54191.0
A4,BBSM00040214,1577868535846.0,1577868590043.0,54197.0
A4,BBSM0004021B5,1577868535847.0,1577868590062.0,54215.0
A4,BBSM0004021C4,1577868535851.0,1577868590079.0,54228.0
A4,BBSM00040217,1577868535853.0,1577868590090.0,54237.0
